anon_userid,Timestamp,Answer Rank,Who Am I?,sorting,coder,Code,Valence
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,3,a person,0.010752973,clara,21,none
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,16,A hater,0.031258184,clara,44,negative
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,12,not everyones favriote,0.084666887,clara,46,negative
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,19,A niece,0.17929908100000003,clara,12,neutral
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,19,A niece,0.17929908100000003,clara,2,girl
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,7,A student,0.214543249,clara,14,neutral
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,20,i have too many aunties to count,0.22219898800000001,clara,12,neutral
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,2,9th grader,0.313964586,clara,22,9thgrade
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,2,9th grader,0.313964586,clara,4,9thgrade
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,2,9th grader,0.313964586,clara,14,neutral
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,13,A introvert,0.344780594,clara,44,neutral
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,14,A Simp,0.37733998399999996,clara,46,negative
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,18,A aunt,0.48368140200000004,clara,12,neutral
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,6,A Friend,0.711781685,frank,10,neutral
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,4,indapendent,0.721963481,frank,44,neutral
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,15,A lover,0.7392713590000001,frank,44,neutral
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,5,A sister,0.742175505,frank,12,neutral
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,5,A sister,0.742175505,frank,2,girl
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,17,bad grade student,0.776819198,frank,25,negative
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,17,bad grade student,0.776819198,frank,14,neutral
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,11,[SCHOOL NAME] student,0.822989185,frank,14,neutral
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,9,A Cousin,0.934596183,frank,12,neutral
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,1,A Girl,0.944306303,frank,2,girl
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,8,A Daughter,0.9462894709999999,frank,12,neutral
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,8,A Daughter,0.9462894709999999,frank,2,girl
stu_AJMSL3816R,2022/05/16 2:33:05 PM AST,10,mommys baby,0.9561778590000001,frank,12,neutral
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,19,I am a pilot in [POPULAR VIDEO GAME],0.101410944,clara,28,neutral
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,20,"I am the top driver in the [YEAR, POPULAR F1 CHAMPIONSHIP]",0.281834392,clara,28,positive
stu_AUQLX2144H,2022/05/16 2:27:30 PM AST,9,I am 14,0.335979955,clara,4,14
