answer rank,anon_stu_id,Who am I?,random values for sorting,code,valence,coder,note
1,stu_AGZKP8305N,I am a female,0.109115169,1,female,frank,
2,stu_AGZKP8305N,I am one who can get overwhelmed and stressed at times,0.438787325,45,negative,frank,
3,stu_AGZKP8305N,"I am someone who really likes dinosaurs and dragons, and art",0.019993193,26,positive,used for IRR check,
3,stu_AGZKP8305N,"I am someone who really likes dinosaurs and dragons, and art",0.019993193,24,positive,used for IRR check,
4,stu_AGZKP8305N,"I am an extrovert, and do not like being alone for extended periods of time",0.8247315959999999,45,negative,clara,
4,stu_AGZKP8305N,"I am an extrovert, and do not like being alone for extended periods of time",0.8247315959999999,44,neutral,clara,
5,stu_AGZKP8305N,I am someone who can get stressed if I answer a question wrong,0.230999713,45,negative,frank,
6,stu_AGZKP8305N,"I am one who likes talking, a lot",0.503108984,44,positive,frank,
6,stu_AGZKP8305N,"I am one who likes talking, a lot",0.503108984,24,positive,frank,
7,stu_AGZKP8305N,I am someone who can get un-motivated by a topic if I find it too boring,0.8958427809999999,41,negative,clara,
8,stu_AGZKP8305N,I am someone who has ADHD,0.280953629,38,none,frank,
9,stu_AGZKP8305N,I am someone who can have trouble sleeping from anxiety,0.607496791,37,negative,clara,
10,stu_AGZKP8305N,I am someone who tries to keep my grades up,0.160152994,25,neutral,frank,
11,stu_AGZKP8305N,I am someone who enjoys math and science,0.14950671699999998,25,positive,frank,
11,stu_AGZKP8305N,I am someone who enjoys math and science,0.14950671699999998,24,positive,frank,
12,stu_AGZKP8305N,I am someone who can get stressed over deadlines,0.895841142,43,negative,clara,
13,stu_AGZKP8305N,I am someone who can get nervous for asking for help,0.554845134,45,negative,clara,
14,stu_AGZKP8305N,I am someone who likes to animate,0.835754159,26,positive,clara,
14,stu_AGZKP8305N,I am someone who likes to animate,0.835754159,24,positive,clara,
15,stu_AGZKP8305N,I am someone who can sometimes get distracted,0.39384997200000005,45,neutral,frank,
16,stu_AGZKP8305N,"I am someone who is trusting, unless you break it",0.062328565999999995,44,neutral,used for IRR check,
17,stu_AGZKP8305N,I am someone who can forget simple things often,0.46105888100000003,45,neutral,frank,
18,stu_AGZKP8305N,"I am someone who likes being active, if its nice out and I'm in the mood",0.7953691009999999,29,positive,clara,
18,stu_AGZKP8305N,"I am someone who likes being active, if its nice out and I'm in the mood",0.7953691009999999,24,positive,clara,
19,stu_AGZKP8305N,I am someone who likes to listen to music and daydream at the same time,0.8837988370000001,31,positive,clara,
19,stu_AGZKP8305N,I am someone who likes to listen to music and daydream at the same time,0.8837988370000001,24,positive,clara,
20,stu_AGZKP8305N,"I am myself, unique, and me.",0.43029429799999996,19,none,frank,
1,stu_APHPM7796P,A girl,0.574966271,2,girl,clara,
2,stu_APHPM7796P,Kind,0.42166233399999997,44,positive,frank,
3,stu_APHPM7796P,Eager to learn,0.617067623,25,positive,clara,
4,stu_APHPM7796P,Dancer,0.7105906259999999,26,neutral,clara,
5,stu_APHPM7796P,Actress,0.326256825,26,neutral,frank,
6,stu_APHPM7796P,Vocalist,0.28869749899999997,26,neutral,frank,
7,stu_APHPM7796P,Scientist-to-be,0.693680628,25,neutral,clara,
7,stu_APHPM7796P,Scientist-to-be,0.693680628,13,neutral,clara,
8,stu_APHPM7796P,A dream pharmacist,0.599624687,13,positive,clara,
9,stu_APHPM7796P,People person,0.72004958,44,positive,clara,
10,stu_APHPM7796P,Energetic,0.121950165,45,neutral,frank,
11,stu_APHPM7796P,Helpful,0.661849234,46,positive,clara,
12,stu_APHPM7796P,Artist,0.489430262,26,neutral,frank,
13,stu_APHPM7796P,Thinker,0.706250767,25,neutral,clara,
14,stu_APHPM7796P,Friendly,0.7741213020000001,44,positive,clara,
15,stu_APHPM7796P,Interesting,0.048681529,46,positive,used for IRR check,
16,stu_APHPM7796P,Welcoming,0.256297525,44,positive,frank,
17,stu_APHPM7796P,Tired,0.096940448,47,negative,frank,
18,stu_APHPM7796P,Water-drinker,0.848472476,31,neutral,clara,
19,stu_APHPM7796P,Influenced person,0.928811394,45,neutral,clara,
20,stu_APHPM7796P,Funny,0.974185362,46,positive,clara,
1,stu_AUZQS7805M,I am a girl.,0.143893824,2,girl,frank,
2,stu_AUZQS7805M,I am a 7th grader,0.5730404379999999,22,7thgrade,clara,
2,stu_AUZQS7805M,I am a 7th grader,0.5730404379999999,4,7thgrade,clara,
2,stu_AUZQS7805M,I am a 7th grader,0.5730404379999999,14,neutral,clara,
3,stu_AUZQS7805M,I am Haitian.,0.116092435,7,haitian,frank,
4,stu_AUZQS7805M,I am next to [first name].,0.24114019399999997,47,neutral,frank,
5,stu_AUZQS7805M,I am a person on the [school name] track team.,0.924721749,29,neutral,clara,
6,stu_AUZQS7805M,I am an older sister.,0.073838949,12,neutral,used for IRR check,
6,stu_AUZQS7805M,I am an older sister.,0.073838949,2,girl,used for IRR check,
7,stu_AUZQS7805M,I am a person whos always near a friend.,0.10399019400000001,44,positive,frank,
8,stu_AUZQS7805M,I am always hungry.,0.965015665,45,negative,clara,
9,stu_AUZQS7805M,I am trying to become a nurse.,0.7113132109999999,13,positive,clara,
10,stu_AUZQS7805M,I am trying to get into a good college.,0.634342934,14,positive,clara,
11,stu_AUZQS7805M,I am a person who gets mad over small things.,0.050757447000000004,45,negative,used for IRR check,
12,stu_AUZQS7805M,I am who loves hygiene.,0.777919369,24,positive,clara,
13,stu_AUZQS7805M,I am good friend.,0.9653567129999999,40,positive,clara,
13,stu_AUZQS7805M,I am good friend.,0.9653567129999999,10,positive,clara,
14,stu_AUZQS7805M,I am a person who likes trying to new things.,0.130074275,24,positive,frank,
15,stu_AUZQS7805M,I am a person who loves anything oreo.,0.9768170429999999,24,positive,clara,
16,stu_AUZQS7805M,I am a person who trys hard.,0.299574408,41,positive,frank,
16,stu_AUZQS7805M,I am a person who trys hard.,0.299574408,21,none,frank,
17,stu_AUZQS7805M,I am mean to my classmates.,0.272493568,44,negative,frank,
18,stu_AUZQS7805M,I am a person who is mean to [first name].,0.483229785,44,negative,frank,
19,stu_AUZQS7805M,I am a calm person.,0.228634403,45,positive,frank,
19,stu_AUZQS7805M,I am a calm person.,0.228634403,21,none,frank,
20,stu_AUZQS7805M,I am a person who needs a pencil all the time.,0.762204643,33,none,clara,
1,stu_AZSAJ4875U,Im a good listener,0.287481532,43,positive,frank,
2,stu_AZSAJ4875U,Im kind,0.080005272,44,positive,used for IRR check,
