stu_id,cls_id,sch_id,BROMP Observed?,variable,Who am I?,Random values for sorting,Rater Assigned,code,valence,note
stu_NZWIU92234,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 8,I am going to 7grade,0.000205606,Clara,22,6thgrade,
stu_NZWIU92234,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 8,I am going to 7grade,0.000205606,Clara,4,6thgrade,
stu_NZWIU92234,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 8,I am going to 7grade,0.000205606,Clara,14,neutral,
stu_DJCZE13885,cls_FBBRP25979,sch_QQLIR33891,,TST Respose 12,I like going outside.,0.00027614,Clara,31,positive,
stu_DJCZE13885,cls_FBBRP25979,sch_QQLIR33891,,TST Respose 12,I like going outside.,0.00027614,Clara,24,positive,
stu_CDXSC86692,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 17,i am the person that goes to my brothers dad's house,0.000617106,Clara,12,neutral,
stu_KWMWG76590,cls_CXLDP17094,sch_KACVP55227,YES,TST Respose 16,i have a lot of friends,0.0008194,Clara,10,positive,
stu_RFRYE74718,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 8,I am a fellow citizen for united states.,0.000942508,Clara,8,american,
stu_XSQUV53095,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 5,I AM [FIRST NAME] A AFRICAN AND INDIAN,0.001105652,Clara,7,africanandindian,
stu_XSQUV53095,cls_OUMSN73782,sch_QQLIR33891,YES,TST Respose 5,I AM [FIRST NAME] A AFRICAN AND INDIAN,0.001105652,Clara,5,none,
stu_YXBHV58732,cls_VFZRA31361,sch_KACVP55227,YES,TST Respose 5,I like playing games,0.001209216,Clara,31,positive,
stu_YXBHV58732,cls_VFZRA31361,sch_KACVP55227,YES,TST Respose 5,I like playing games,0.001209216,Clara,24,positive,
stu_ZARRQ26344,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 7,i like to paint and draw,0.001407841,Clara,26,positive,
stu_ZARRQ26344,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 7,i like to paint and draw,0.001407841,Clara,24,positive,
stu_MKEGQ97127,cls_GIJEF48865,sch_KACVP55227,,TST Respose 15,I'm a friendly person,0.001578729,Clara,44,positive,
stu_EXNUN73314,cls_CIIPB03795,sch_RSWHG50450,YES,TST Respose 13,I am pretty,0.001709453,Clara,35,positive,
stu_MKGYA55892,cls_MMBNN48363,sch_QQLIR33891,,TST Respose 5,like music,0.002073456,Clara,24,positive,
stu_OCRTY88035,cls_MAEBK64434,sch_QQLIR33891,,TST Respose 17,I am someone that want to go to cape verde.,0.002391487,Clara,24,positive,flag for later
stu_FBWGP41232,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 5,I enjoy math (sometimes),0.003009266,Clara,25,positive,
stu_FBWGP41232,cls_JYBSH30995,sch_QQLIR33891,,TST Respose 5,I enjoy math (sometimes),0.003009266,Clara,24,positive,
