anon_userid,Answer Rank,Who Am I?,Code,Valence
stu_AJMSL3816R,3,a person,21.0,none
stu_AJMSL3816R,16,A hater,44.0,negative
stu_AJMSL3816R,12,not everyones favriote,46.0,negative
stu_AJMSL3816R,19,A niece,12.0,neutral
stu_AJMSL3816R,19,A niece,2.0,girl
stu_AJMSL3816R,7,A student,14.0,neutral
stu_AJMSL3816R,20,i have too many aunties to count,12.0,neutral
stu_AJMSL3816R,2,9th grader,22.0,9thgrade
stu_AJMSL3816R,2,9th grader,4.0,9thgrade
stu_AJMSL3816R,2,9th grader,14.0,neutral
stu_AJMSL3816R,13,A introvert,44.0,neutral
stu_AJMSL3816R,14,A Simp,46.0,negative
stu_AJMSL3816R,18,A aunt,12.0,neutral
stu_AJMSL3816R,6,A Friend,10.0,neutral
stu_AJMSL3816R,4,indapendent,44.0,neutral
stu_AJMSL3816R,15,A lover,44.0,neutral
stu_AJMSL3816R,5,A sister,12.0,neutral
stu_AJMSL3816R,5,A sister,2.0,girl
stu_AJMSL3816R,17,bad grade student,25.0,negative
stu_AJMSL3816R,17,bad grade student,14.0,neutral
stu_AJMSL3816R,11,[SCHOOL NAME] student,14.0,neutral
stu_AJMSL3816R,9,A Cousin,12.0,neutral
stu_AJMSL3816R,1,A Girl,2.0,girl
stu_AJMSL3816R,8,A Daughter,12.0,neutral
stu_AJMSL3816R,8,A Daughter,2.0,girl
stu_AJMSL3816R,10,mommys baby,12.0,neutral
stu_AUQLX2144H,19,I am a pilot in [POPULAR VIDEO GAME],28.0,neutral
stu_AUQLX2144H,20,"I am the top driver in the [YEAR, POPULAR F1 CHAMPIONSHIP]",28.0,positive
stu_AUQLX2144H,9,I am 14,4.0,14
stu_AUQLX2144H,5,I am done with the toll,47.0,neutral
stu_AUQLX2144H,8,I am in math class,47.0,neutral
stu_AUQLX2144H,13,I am related to no one in vermont,48.0,none
stu_AUQLX2144H,6,I am going to not do ib,14.0,negative
stu_AUQLX2144H,3,I am tall,35.0,neutral
stu_AUQLX2144H,2,I am filling out a survey,47.0,neutral
stu_AUQLX2144H,11,I am a citizen,8.0,citizen
stu_AUQLX2144H,1,[FIRST & LAST NAME],5.0,none
stu_AUQLX2144H,16,I am a son,12.0,neutral
stu_AUQLX2144H,16,I am a son,2.0,boy
stu_AUQLX2144H,17,I am having trouble coming up with more answers,47.0,neutral
stu_AUQLX2144H,10,I am a corner infielder,29.0,neutral
stu_AUQLX2144H,15,I am a student,14.0,neutral
stu_AUQLX2144H,18,I am good at graphic design,27.0,neutral
stu_AUQLX2144H,18,I am good at graphic design,26.0,neutral
stu_AUQLX2144H,7,I am level 12 in Pokemon Go,28.0,neutral
stu_AUQLX2144H,12,I am never using an iphone,27.0,negative
stu_AUQLX2144H,14,I am in [CITY],9.0,not sure
stu_AUQLX2144H,4,I am 19% done with mathia,47.0,neutral
stu_BUYXD2520P,6,I have a brother.,12.0,neutral
stu_BUYXD2520P,7,I'm learning to drive in a year.,31.0,neutral
stu_BUYXD2520P,2,I'm learning how to play guitar.,26.0,neutral
stu_BUYXD2520P,12,My birthday is [DATE],48.0,neutral
stu_BUYXD2520P,11,My favorite animal is a frog.,24.0,positive
stu_BUYXD2520P,13,,48.0,none
stu_BUYXD2520P,10,My favorite color is green.,24.0,positive
stu_BUYXD2520P,15,,48.0,none
stu_BUYXD2520P,8,I'm an artist.,26.0,neutral
stu_BUYXD2520P,5,I like rock/indie music.,26.0,neutral
stu_BUYXD2520P,5,I like rock/indie music.,24.0,positive
stu_BUYXD2520P,1,I'm 14 years old.,4.0,14 year old
stu_BUYXD2520P,9,I'm a writer.,25.0,neutral
stu_BUYXD2520P,14,,48.0,none
stu_BUYXD2520P,4,I can skateboard.,29.0,neutral
stu_BUYXD2520P,3,I have a dog.,32.0,none
stu_CDQME8338E,2,[FIRST & LAST NAME],5.0,none
stu_CDQME8338E,20,likes plain clothes,24.0,positive
stu_CDQME8338E,10,a kid,22.0,kid
stu_CDQME8338E,10,a kid,4.0,kid
stu_CDQME8338E,8,has brown eyes,35.0,neutral
stu_CDQME8338E,18,funny sometimes,44.0,positive
stu_CDQME8338E,18,simple,45.0,neutral
stu_CDQME8338E,6,straight,3.0,straight
stu_CDQME8338E,16,short,35.0,neutral
stu_CDQME8338E,4,has brown hair,35.0,neutral
stu_CDQME8338E,12,a quiet person sometimes,44.0,neutral
stu_CDQME8338E,10,a person with find grades,14.0,neutral
stu_CDQME8338E,12,Chinese,7.0,chinese
stu_CDQME8338E,20,boring sometimes,44.0,negative
stu_CDQME8338E,4,A girl,2.0,girl
stu_CDQME8338E,16,an introvert,44.0,neutral
stu_CDQME8338E,14,A person who likes art,26.0,neutral
stu_CDQME8338E,14,A person who likes art,24.0,positive
stu_CDQME8338E,8,Not studious,41.0,neutral
stu_CDQME8338E,14,an extrovert,44.0,neutral
stu_CDQME8338E,2,likes drawing,26.0,neutral
stu_CDQME8338E,2,likes drawing,24.0,positive
stu_CDQME8338E,6,13 years old,4.0,13 year old
stu_DYWGH4533N,12,I am a black girl,6.0,black
stu_DYWGH4533N,12,I am a black girl,2.0,girl
stu_DYWGH4533N,6,I am a black girl,6.0,black
stu_DYWGH4533N,6,I am a black girl,2.0,girl
stu_DYWGH4533N,17,I am a black girl,6.0,black
stu_DYWGH4533N,17,I am a black girl,2.0,girl
stu_DYWGH4533N,18,I am a black girl,6.0,black
stu_DYWGH4533N,18,I am a black girl,2.0,girl
stu_DYWGH4533N,20,I am a black girl,6.0,black
stu_DYWGH4533N,20,I am a black girl,2.0,girl
stu_DYWGH4533N,14,I am a black girl,6.0,black
stu_DYWGH4533N,14,I am a black girl,2.0,girl
stu_DYWGH4533N,11,I am a black girl,6.0,black
stu_DYWGH4533N,11,I am a black girl,2.0,girl
stu_DYWGH4533N,19,I am a black girl,6.0,black
stu_DYWGH4533N,19,I am a black girl,2.0,girl
stu_DYWGH4533N,4,I am a black girl,6.0,black
stu_DYWGH4533N,4,I am a black girl,2.0,girl
stu_DYWGH4533N,13,I am a black girl,6.0,black
stu_DYWGH4533N,13,I am a black girl,2.0,girl
stu_DYWGH4533N,3,I am a black girl,6.0,black
stu_DYWGH4533N,3,I am a black girl,2.0,girl
stu_DYWGH4533N,8,I am a black girl,6.0,black
stu_DYWGH4533N,8,I am a black girl,2.0,girl
stu_DYWGH4533N,16,I am a black girl,6.0,black
stu_DYWGH4533N,16,I am a black girl,2.0,girl
stu_DYWGH4533N,9,I am a black girl,6.0,black
stu_DYWGH4533N,9,I am a black girl,2.0,girl
stu_DYWGH4533N,5,I am a black girl,6.0,black
stu_DYWGH4533N,5,I am a black girl,2.0,girl
stu_DYWGH4533N,15,I am a black girl,6.0,black
stu_DYWGH4533N,15,I am a black girl,2.0,girl
stu_DYWGH4533N,7,I am a black girl,6.0,black
stu_DYWGH4533N,7,I am a black girl,2.0,girl
stu_DYWGH4533N,2,I am a black girl,6.0,black
stu_DYWGH4533N,2,I am a black girl,2.0,girl
stu_DYWGH4533N,1,I am a black girl,6.0,black
stu_DYWGH4533N,1,I am a black girl,2.0,girl
stu_DYWGH4533N,10,I am a black girl,6.0,black
stu_DYWGH4533N,10,I am a black girl,2.0,girl
stu_EPPBQ3873F,5,I am quater Japanese,7.0,japanese
stu_EPPBQ3873F,20,Im am man,2.0,man
stu_EPPBQ3873F,13,I am trying to learn a new language,31.0,neutral
stu_EPPBQ3873F,6,I am Greman,7.0,german
stu_EPPBQ3873F,19,I am goodish at drawing,26.0,positive
stu_EPPBQ3873F,3,A star wars nerd,22.0,nerd
stu_EPPBQ3873F,10,I am someone with long hair I am someone who likes to cosplay,35.0,neutral
stu_EPPBQ3873F,10,I am someone with long hair I am someone who likes to cosplay,24.0,positive
stu_EPPBQ3873F,10,I am someone with long hair I am someone who likes to cosplay,31.0,positive
stu_EPPBQ3873F,11,I am not good with social interactions,45.0,negative
stu_EPPBQ3873F,8,I am somone that dosent like to read,25.0,negative
stu_EPPBQ3873F,8,I am somone that dosent like to read,24.0,negative
stu_EPPBQ3873F,16,I am an anime fan,24.0,positive
stu_EPPBQ3873F,14,I am not good at fashion,30.0,negative
stu_EPPBQ3873F,9,I am a theme park nerd,22.0,nerd
stu_EPPBQ3873F,18,I am a bad at talking to new people,44.0,negative
stu_EPPBQ3873F,4,a mostly A grade student,25.0,neutral
stu_EPPBQ3873F,4,a mostly A grade student,14.0,neutral
stu_EPPBQ3873F,17,I am an ok cook,31.0,neutral
stu_EPPBQ3873F,12,I am not very good at sports,29.0,neutral
stu_EPPBQ3873F,7,i am somtimes smart,43.0,positive
stu_EPPBQ3873F,15,I am a Marvel fan,24.0,positive
stu_EPPBQ3873F,2,funny sometimes,44.0,positive
stu_EPPBQ3873F,1,[FIRST & LAST NAME],5.0,none
stu_FRYMF1735S,12,I like tennis,24.0,positive
stu_FRYMF1735S,15,I like going on vacations.,31.0,positive
stu_FRYMF1735S,15,I like going on vacations.,24.0,positive
stu_FRYMF1735S,17,I love listening to classical music,26.0,positive
stu_FRYMF1735S,17,I love listening to classical music,24.0,positive
stu_FRYMF1735S,14,I like swimming,29.0,positive
stu_FRYMF1735S,14,I like swimming,24.0,positive
stu_FRYMF1735S,16,I am a triliguist.,22.0,trilingual
stu_FRYMF1735S,13,I hate running,29.0,negative
stu_FRYMF1735S,13,I hate running,24.0,negative
stu_FRYMF1735S,6,I am extroverted.,44.0,neutral
stu_FRYMF1735S,19,"I like consider myself smart, although I'm not sure.",43.0,positive
stu_FRYMF1735S,10,I enjoy eating food.,24.0,positive
stu_FRYMF1735S,7,I am a lover of the arts.,25.0,positive
stu_FRYMF1735S,7,I am a lover of the arts.,24.0,positive
stu_FRYMF1735S,5,I identify as a heterosexual female.,3.0,female
stu_FRYMF1735S,5,I identify as a heterosexual female.,1.0,heterosexual
stu_FRYMF1735S,8,I am a writer.,26.0,neutral
stu_FRYMF1735S,3,I am Moroccan-Italian.,7.0,moroccan-italian
stu_FRYMF1735S,1,I identify as female.,1.0,female
stu_FRYMF1735S,20,I am young,4.0,young
stu_FRYMF1735S,2,I identify as North African-American.,7.0,north african-american
stu_FRYMF1735S,4,I am funny.,46.0,positive
stu_FRYMF1735S,11,I enjoy doing mathematics.,25.0,neutral
stu_FRYMF1735S,11,I enjoy doing mathematics.,24.0,positive
stu_FRYMF1735S,18,I like watching television.,27.0,neutral
stu_FRYMF1735S,18,I like watching television.,24.0,positive
stu_FRYMF1735S,9,I am a student.,14.0,neutral
stu_HDDFY3165H,14,I am all out of pencils. Please lend me some.,47.0,negative
stu_HDDFY3165H,5,I am a blonde.,35.0,neutral
stu_HDDFY3165H,3,I'm a 13 year old,4.0,13
stu_HDDFY3165H,17,I am [CHARACTER NAME] in the play.,26.0,neutral
stu_HDDFY3165H,16,I am a student.,14.0,neutral
stu_HDDFY3165H,7,I am a great volleyball player and softball player.,29.0,positive
stu_HDDFY3165H,19,I am person who was not prepared to explore their identity for a 5$ amazon giftcard.,47.0,negative
stu_HDDFY3165H,12,I am a trail runner.,29.0,neutral
stu_HDDFY3165H,18,"I am a gemini, therefor I have an amazing personality.",45.0,positive
stu_HDDFY3165H,18,"I am a gemini, therefor I have an amazing personality.",22.0,gemini
stu_HDDFY3165H,1,I am an athlete?,29.0,neutral
stu_HDDFY3165H,11,I am a girl.,2.0,girl
stu_HDDFY3165H,9,I am a person scared about moving.,47.0,negative
stu_HDDFY3165H,4,I am a person confused about this survey.,47.0,neutral
stu_HDDFY3165H,8,I am broke.,34.0,poor
stu_HDDFY3165H,13,I am happy.,45.0,positive
stu_HDDFY3165H,6,I am an artist and performer.,26.0,neutral
stu_HDDFY3165H,15,I am a walking dad joke dispenser.,45.0,neutral
stu_HDDFY3165H,2,I'm [FIRST NAME],5.0,none
stu_HDDFY3165H,10,I am a member of my community.,22.0,not sure
stu_HDDFY3165H,20,I am feeling very accomplished for finishing this survey.,47.0,positive
stu_HSPMF9210Q,7,Cool kid,46.0,positive
stu_HSPMF9210Q,7,Cool kid,4.0,kid
stu_HSPMF9210Q,7,Cool kid,22.0,kid
stu_HSPMF9210Q,2,[CLASSMATE'S FIRST & LAST NAME]'s plug,10.0,positive
stu_HSPMF9210Q,6,[FIRST NAME INITIAL]-W69,5.0,none
stu_HSPMF9210Q,4,[FIRST NAME INITIAL & LAST NAME],5.0,none
stu_HSPMF9210Q,13,[FIRST NAME & LAST INITAL],5.0,none
stu_HSPMF9210Q,17,[VARIATION OF NAME],5.0,none
