anon_stu_id,answer rank,Who am I?,code,valence
stu_AGZKP8305N,1,I am a female,1.0,female
stu_AGZKP8305N,2,I am one who can get overwhelmed and stressed at times,45.0,negative
stu_AGZKP8305N,3,"I am someone who really likes dinosaurs and dragons, and art",26.0,positive
stu_AGZKP8305N,3,"I am someone who really likes dinosaurs and dragons, and art",24.0,positive
stu_AGZKP8305N,4,"I am an extrovert, and do not like being alone for extended periods of time",45.0,negative
stu_AGZKP8305N,4,"I am an extrovert, and do not like being alone for extended periods of time",44.0,neutral
stu_AGZKP8305N,5,I am someone who can get stressed if I answer a question wrong,45.0,negative
stu_AGZKP8305N,6,"I am one who likes talking, a lot",44.0,positive
stu_AGZKP8305N,6,"I am one who likes talking, a lot",24.0,positive
stu_AGZKP8305N,7,I am someone who can get un-motivated by a topic if I find it too boring,41.0,negative
stu_AGZKP8305N,8,I am someone who has ADHD,38.0,none
stu_AGZKP8305N,9,I am someone who can have trouble sleeping from anxiety,37.0,negative
stu_AGZKP8305N,10,I am someone who tries to keep my grades up,25.0,neutral
stu_AGZKP8305N,11,I am someone who enjoys math and science,25.0,positive
stu_AGZKP8305N,11,I am someone who enjoys math and science,24.0,positive
stu_AGZKP8305N,12,I am someone who can get stressed over deadlines,43.0,negative
stu_AGZKP8305N,13,I am someone who can get nervous for asking for help,45.0,negative
stu_AGZKP8305N,14,I am someone who likes to animate,26.0,positive
stu_AGZKP8305N,14,I am someone who likes to animate,24.0,positive
stu_AGZKP8305N,15,I am someone who can sometimes get distracted,45.0,neutral
stu_AGZKP8305N,16,"I am someone who is trusting, unless you break it",44.0,neutral
stu_AGZKP8305N,17,I am someone who can forget simple things often,45.0,neutral
stu_AGZKP8305N,18,"I am someone who likes being active, if its nice out and I'm in the mood",29.0,positive
stu_AGZKP8305N,18,"I am someone who likes being active, if its nice out and I'm in the mood",24.0,positive
stu_AGZKP8305N,19,I am someone who likes to listen to music and daydream at the same time,31.0,positive
stu_AGZKP8305N,19,I am someone who likes to listen to music and daydream at the same time,24.0,positive
