stu_id,variable,Who am I?,code,valence
stu_NZWIU92234,TST Respose 8,I am going to 7grade,22.0,6thgrade
stu_NZWIU92234,TST Respose 8,I am going to 7grade,4.0,6thgrade
stu_NZWIU92234,TST Respose 8,I am going to 7grade,14.0,neutral
stu_DJCZE13885,TST Respose 12,I like going outside.,31.0,positive
stu_DJCZE13885,TST Respose 12,I like going outside.,24.0,positive
stu_CDXSC86692,TST Respose 17,i am the person that goes to my brothers dad's house,12.0,neutral
stu_KWMWG76590,TST Respose 16,i have a lot of friends,10.0,positive
stu_RFRYE74718,TST Respose 8,I am a fellow citizen for united states.,8.0,american
stu_XSQUV53095,TST Respose 5,I AM [FIRST NAME] A AFRICAN AND INDIAN,7.0,africanandindian
stu_XSQUV53095,TST Respose 5,I AM [FIRST NAME] A AFRICAN AND INDIAN,5.0,none
stu_YXBHV58732,TST Respose 5,I like playing games,31.0,positive
stu_YXBHV58732,TST Respose 5,I like playing games,24.0,positive
stu_ZARRQ26344,TST Respose 7,i like to paint and draw,26.0,positive
stu_ZARRQ26344,TST Respose 7,i like to paint and draw,24.0,positive
stu_MKEGQ97127,TST Respose 15,I'm a friendly person,44.0,positive
stu_EXNUN73314,TST Respose 13,I am pretty,35.0,positive
stu_MKGYA55892,TST Respose 5,like music,24.0,positive
stu_OCRTY88035,TST Respose 17,I am someone that want to go to cape verde.,24.0,positive
stu_FBWGP41232,TST Respose 5,I enjoy math (sometimes),25.0,positive
stu_FBWGP41232,TST Respose 5,I enjoy math (sometimes),24.0,positive
stu_DERZZ01872,TST Respose 12,I have a snake,32.0,none
stu_BESSB35006,TST Respose 8,i like to talk to my friends,31.0,positive
stu_BESSB35006,TST Respose 8,i like to talk to my friends,10.0,positive
stu_BESSB35006,TST Respose 8,i like to talk to my friends,24.0,positive
stu_SOWGI28002,TST Respose 16,I am someone who loves water,24.0,positive
stu_EHXGF51692,TST Respose 1,I am a honor student.,14.0,positive
stu_QQMSX84242,TST Respose 16,a friend,10.0,neutral
stu_CDXSC86692,TST Respose 19,i am the person that loves to go outside,31.0,positive
stu_CDXSC86692,TST Respose 19,i am the person that loves to go outside,24.0,positive
stu_MXNSF14478,TST Respose 19,I have 9 siblings,12.0,neutral
stu_FQKSK24193,TST Respose 16,i have 2 brothers,12.0,neutral
stu_EJIML93711,TST Respose 16,I like doing group work.,14.0,positive
stu_NWRRN03456,TST Respose 5,I complete 13 assignment on MATH Stream.,14.0,neutral
stu_CWJCN88700,TST Respose 13,I am short compared to others,35.0,neutral
stu_ABSGH36082,TST Respose 13,I want a fish,33.0,none
stu_FASQN45304,TST Respose 4,I am someone who loves math.,25.0,positive
stu_FASQN45304,TST Respose 4,I am someone who loves math.,24.0,positive
stu_SBUBU63586,TST Respose 3,i am a student,14.0,neutral
stu_XSQUV53095,TST Respose 2,I AM [FIRST NAME] A STUDENT,14.0,neutral
stu_XSQUV53095,TST Respose 2,I AM [FIRST NAME] A STUDENT,5.0,none
stu_ZARRQ26344,TST Respose 14,I am a moms girl,12.0,neutral
stu_ZARRQ26344,TST Respose 14,I am a moms girl,2.0,girl
stu_WWNBY52737,TST Respose 15,I am an honors student.,14.0,positive
stu_WEADW20158,TST Respose 12,i like going out with my parents,24.0,positive
stu_WEADW20158,TST Respose 12,i like going out with my parents,12.0,positive
stu_JVLXZ63894,TST Respose 2,english student,14.0,neutral
stu_VKCWY07846,TST Respose 5,im a only child,22.0,onlychild
stu_VKCWY07846,TST Respose 5,im a only child,12.0,neutral
stu_HBPKA70291,TST Respose 12,call of duty player,28.0,neutral
stu_IGLSS89625,TST Respose 11,i like my mom,12.0,positive
stu_MXNSF14478,TST Respose 3,I'm a 11 year old,4.0,11
stu_VNSDU81090,TST Respose 10,my favorite food is rice and chiken,24.0,positive
stu_PUHUL75671,TST Respose 10,[DATE POSSIBLE BIRTHDAY],48.0,neutral
stu_IKUOQ66846,TST Respose 18,I like to do something when i'm bored,31.0,positive
stu_IKUOQ66846,TST Respose 18,I like to do something when i'm bored,24.0,positive
