new_stu_id,original_stu_id
stu_AUUJV42407,stu_DERZZ01872
stu_RWOGO84052,stu_OMSFY97090
stu_GQAWA93110,stu_CLLRZ76280
stu_DZTEA37506,stu_YSQPA55709
stu_FPDYF72592,stu_MMNSJ38829
stu_VWXLH22092,stu_CQRFU18177
stu_WCETT83525,stu_VENGZ10475
stu_YGDZS61956,stu_EHLZF06092
stu_CIDTN18977,stu_MZIVN56293
stu_TNXPJ56387,stu_NWRRC44615
stu_EXKJU22106,stu_XKMAG80800
stu_EDJLN80317,stu_CHVFQ54169
stu_IOOIZ10044,stu_WTRMC77187
stu_ZNRJF67227,stu_AQNHF52456
stu_VTIZP19428,stu_QZOUO83023
stu_BRKTU84162,stu_NMWSA27732
stu_CYMQE70585,stu_THKBG93560
stu_DHQJS87431,stu_NJZBY59884
stu_EZNPT94275,stu_GXIYC47970
stu_ZAXVJ78974,stu_STIXI97047
stu_FNQQG14228,stu_SJXEZ38047
stu_RWKLG54304,stu_CWQDV67579
stu_KDUDR06745,stu_LKAAV41369
stu_PKYRW22447,stu_QPHPK12517
stu_XPHBE30460,stu_IIOVZ06372
stu_XWRRD79065,stu_WBAVA84528
stu_MQIMO73456,stu_XUDYN03051
stu_UEEUE24024,stu_MYCLF44200
stu_FEKZI87604,stu_PJCOJ15115
stu_BUTRL72171,stu_ZQMQQ26810
stu_CKUJM46069,stu_SULZI60933
stu_FUILC65685,stu_SAOLH99639
stu_ADLUE68736,stu_BJJXN95776
stu_KMAFU68998,stu_DUOEM76163
stu_LWRGU00542,stu_UEDQL23543
stu_COCMF27828,stu_FUILC09238
stu_ZEIUC47425,stu_KCDEU07486
stu_SXRAT03496,stu_XHPVX80161
stu_RBSDR78869,stu_CULOH75877
stu_JWUQV42587,stu_MXNSB23169
stu_PUAWF29483,stu_MKEGQ97127
stu_NBARL33341,stu_FNVBP19615
stu_LSFIT20652,stu_IGLSS89625
stu_WMADC97739,stu_UYUIH18635
stu_VQYWH18082,stu_CAGAM03126
stu_AUGXM19625,stu_UAFAK64772
stu_OQLKY00914,stu_FTOYB42084
stu_ZQGPF65206,stu_VUNQZ79892
stu_TDGAV38371,stu_MKGYA55892
stu_CNSGE01484,stu_WTYXN11056
stu_DWKDS87348,stu_KGOWI06896
stu_FOSTX71402,stu_VGJIS59600
stu_ZHMIL29773,stu_CPAQO78519
stu_MZHFS57587,stu_PKXZK94759
stu_ZKEZE05986,stu_KJOZZ30475
stu_CHVNU54150,stu_IZQGI75719
stu_BPXDT26875,stu_JPMJO86637
stu_RXMBJ79845,stu_HEPWQ98561
stu_VNQVE42745,stu_JVLXZ63894
stu_CIILS63634,stu_TDURA35752
stu_TSAGY70621,stu_NXWSI70882
stu_IRDCJ49404,stu_RSKDK68207
stu_IHQQO21538,stu_WXAMH04104
stu_UTHXV82733,stu_CDGKD03653
stu_DTDVJ83792,stu_NKLXU69068
stu_IZEXM30013,stu_HBPKA70291
stu_UKGPX92064,stu_ABSGH36082
stu_RKJDQ73252,stu_WWNBY52737
stu_NSMOW28808,stu_OQLOS45541
stu_WPOWM64150,stu_MCKOL97960
stu_XIHFP79920,stu_WZRKM29688
stu_HJBTM59611,stu_SBHVW46606
stu_BTJNZ61070,stu_MRIWT64391
stu_CQQVW86821,stu_EXNUN73314
stu_ONTYO73068,stu_SELBD60428
stu_WGDKG13614,stu_SJNFF34466
stu_DUXMA09044,stu_WRQAA62017
stu_UFNNR94823,stu_SOWGI28002
stu_EUUWP12626,stu_RDOVU20570
stu_HRUXB82737,stu_RXINW92247
stu_TBDMO54966,stu_FQKSK24193
stu_EQUWM75656,stu_ROULI02103
stu_DCKZN06885,stu_JTZYY08754
stu_TXBOI24607,stu_YXBHV58732
stu_PILWO98271,stu_YBWGX96937
stu_XLZTW00182,stu_CINVJ49388
stu_AXTJM01408,stu_PYEUW09959
stu_TDYIP80182,stu_XSQUV53095
stu_VDKSO01797,stu_DZJHT48666
stu_TWVIX90047,stu_DJCZE13885
stu_RTJCL18553,stu_RNIHY62490
stu_MFVHT79786,stu_LNFOE66635
stu_PVMPL82864,stu_QEGJI54214
stu_AKVDT62334,stu_CPVXX19825
stu_EKANT14308,stu_LVOOZ80056
stu_SGCAJ96552,stu_CNIFN64507
stu_MNQMU39209,stu_KWMWG76590
stu_LZPEZ75480,stu_VNSDU81090
stu_ZKFSD97750,stu_VSSOO37726
stu_ENFTM17117,stu_YNVPH88845
stu_RYQCK59104,stu_JERPG96865
stu_GILKZ56962,stu_ORUUL82324
stu_SVNTC68075,stu_PFDTL78462
stu_FCHLD62239,stu_DHTXQ91573
stu_QKOWC81821,stu_VKCWY07846
stu_WJDXP38346,stu_BDAZF88230
stu_PZKMO91472,stu_UTXBZ05806
stu_THZLR21656,stu_WDDQQ92015
stu_UADWS10707,stu_CJHBB29429
stu_KRSXG62066,stu_CPBCK00658
stu_AESHQ63621,stu_OAZKI17777
stu_WQZJA27114,stu_JOKOV89559
stu_RGUJU32424,stu_MXNSF14478
stu_SPXBI99162,stu_IKUOQ66846
stu_ETQRS17898,stu_FWPPR22255
stu_VPIYI15197,stu_CETOG17008
stu_HTLWH75834,stu_YGBLH44260
stu_CNYYO79860,stu_UEYTM01990
stu_SSODW19752,stu_KWLPL21630
stu_ZTCMQ97856,stu_PNNIR08301
stu_BTAVV44491,stu_PUNZK45438
stu_JUIAS92451,stu_PUHUL75671
stu_MREDF50987,stu_YXJEP22115
stu_WJGBY94959,stu_FSPCV10901
stu_DXXBX04308,stu_ZYUDW82089
stu_GWCOQ15596,stu_NRKZA72454
stu_RJEQL86924,stu_QCKDZ64012
stu_RDOJI21362,stu_WAFQN21754
stu_EPXJK35586,stu_ROXAU39801
stu_FAPCF02064,stu_XTNGF06478
stu_JGIYB26979,stu_RFRYE74718
stu_JVRWM14074,stu_OFAWH83528
stu_MXGLD16616,stu_UEVQJ25414
stu_BCTDT21308,stu_VOXTG50835
stu_TCFEQ36375,stu_JOVOI38701
stu_IJSGF14673,stu_AHWRN95528
stu_FIPLG44147,stu_HLKZL24322
stu_VWITX54080,stu_EJIML93711
stu_AQLWZ40773,stu_ZKWNJ11077
stu_PKFKF80811,stu_LJAAE92948
stu_KTFSQ61709,stu_WPVZY01902
stu_QNAZX84697,stu_UHXBA77476
stu_LTVSE36472,stu_QOGPO20181
stu_YBCKR72419,stu_SIWRL23181
stu_VTPQX37546,stu_NWVEW24693
stu_QZNXO72410,stu_NWRRN03456
stu_YFOWZ18594,stu_HVWUJ52450
stu_JBRKJ41556,stu_GCHCS91000
stu_SZGAO13535,stu_WGOKZ02467
stu_YVCVQ80620,stu_RDPGG44681
stu_GXTZV95534,stu_QHOON52054
stu_PROUZ21571,stu_PSHZT50501
stu_NLXGJ57944,stu_TSQUQ54202
stu_ESMTX50691,stu_DKGHS98193
stu_KQVGK65087,stu_FASQN45304
stu_RZGHG65146,stu_EQSJM78476
stu_XIMGN59405,stu_NYHDW07721
stu_IWVRO00655,stu_WAWDW95831
stu_GTIGQ79208,stu_KOIIB68446
stu_VPQTA80795,stu_VTRUH97046
