orig_index,user_id,label,assess_BUG_25%,assess_BUG_50%,assess_BUG_75%,assess_BUG_count,assess_BUG_max,assess_BUG_mean,assess_BUG_min,assess_BUG_std,assess_BUG_sum,assess_OK_25%,assess_OK_50%,assess_OK_75%,assess_OK_count,assess_OK_max,assess_OK_mean,assess_OK_min,assess_OK_std,assess_OK_sum,assess_ERROR_25%,assess_ERROR_50%,assess_ERROR_75%,assess_ERROR_count,assess_ERROR_max,assess_ERROR_mean,assess_ERROR_min,assess_ERROR_std,assess_ERROR_sum,assess_INITIAL_HINT_25%,assess_INITIAL_HINT_50%,assess_INITIAL_HINT_75%,assess_INITIAL_HINT_count,assess_INITIAL_HINT_max,assess_INITIAL_HINT_mean,assess_INITIAL_HINT_min,assess_INITIAL_HINT_std,assess_INITIAL_HINT_sum,dur_sd_prev3_25%,dur_sd_prev3_50%,dur_sd_prev3_75%,dur_sd_prev3_count,dur_sd_prev3_max,dur_sd_prev3_mean,dur_sd_prev3_min,dur_sd_prev3_std,dur_sd_prev3_sum,dur_sd_prev5_25%,dur_sd_prev5_50%,dur_sd_prev5_75%,dur_sd_prev5_count,dur_sd_prev5_max,dur_sd_prev5_mean,dur_sd_prev5_min,dur_sd_prev5_std,dur_sd_prev5_sum,duration_sd_25%,duration_sd_50%,duration_sd_75%,duration_sd_count,duration_sd_max,duration_sd_mean,duration_sd_min,duration_sd_std,duration_sd_sum,error_count_last_5_25%,error_count_last_5_50%,error_count_last_5_75%,error_count_last_5_count,error_count_last_5_max,error_count_last_5_mean,error_count_last_5_min,error_count_last_5_std,error_count_last_5_sum,error_perc_25%,error_perc_50%,error_perc_75%,error_perc_count,error_perc_max,error_perc_mean,error_perc_min,error_perc_std,error_perc_sum,help_and_errors_count_25%,help_and_errors_count_50%,help_and_errors_count_75%,help_and_errors_count_count,help_and_errors_count_max,help_and_errors_count_mean,help_and_errors_count_min,help_and_errors_count_std,help_and_errors_count_sum,help_attempts_last_8_25%,help_attempts_last_8_50%,help_attempts_last_8_75%,help_attempts_last_8_count,help_attempts_last_8_max,help_attempts_last_8_mean,help_attempts_last_8_min,help_attempts_last_8_std,help_attempts_last_8_sum,numsteps_25%,numsteps_50%,numsteps_75%,numsteps_count,numsteps_max,numsteps_mean,numsteps_min,numsteps_std,numsteps_sum,pknow_25%,pknow_50%,pknow_75%,pknow_count,pknow_direct_25%,pknow_direct_50%,pknow_direct_75%,pknow_direct_count,pknow_direct_max,pknow_direct_mean,pknow_direct_min,pknow_direct_std,pknow_direct_sum,pknow_max,pknow_mean,pknow_min,pknow_std,pknow_sum,prob_first_att_25%,prob_first_att_50%,prob_first_att_75%,prob_first_att_count,prob_first_att_max,prob_first_att_mean,prob_first_att_min,prob_first_att_std,prob_first_att_sum,prob_step_last_5_25%,prob_step_last_5_50%,prob_step_last_5_75%,prob_step_last_5_count,prob_step_last_5_max,prob_step_last_5_mean,prob_step_last_5_min,prob_step_last_5_std,prob_step_last_5_sum,step_first_att_25%,step_first_att_50%,step_first_att_75%,step_first_att_count,step_first_att_max,step_first_att_mean,step_first_att_min,step_first_att_std,step_first_att_sum,wrong_attempts_25%,wrong_attempts_50%,wrong_attempts_75%,wrong_attempts_count,wrong_attempts_max,wrong_attempts_mean,wrong_attempts_min,wrong_attempts_std,wrong_attempts_sum
3029,stu_XHCSU6285G,N,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.1585057722021475,-0.1583768895517796,-0.1583241953858615,7.0,-0.158261565730041,-0.1584136382166945,-0.158597077059023,0.0001245105351866,-1.1088954675168616,-0.2641134114197909,-0.2639874307194441,-0.2639208662161375,7.0,-0.2638673850807221,-0.2640182115323384,-0.2642041096543457,0.0001348914392718,-1.8481274807263688,-0.052867277222134,-0.0528359623942237,-0.0527946792860153,7.0,-0.0526545331347185,-0.0528174264519588,-0.0529075766184709,8.382091624516604e-05,-0.3697219851637119,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1657397107897664,0.3289473684210526,0.4697802197802198,7.0,0.5283018867924528,0.1611841594790682,-1.0,0.5330957153517867,1.1282891163534778,10.75,26.5,37.0,6.0,51.0,25.666666666666668,4.0,18.48963673701208,154.0,1.5,3.0,3.0,7.0,3.0,2.142857142857143,0.0,1.2149857925879115,15.0,1.0,1.0,1.0,7.0,1.0,0.7142857142857143,-1.0,0.7559289460184546,5.0,0.999999979640917,0.999999999999985,1.0,5.0,0.9999975410012516,0.999999989820451,0.9999999999999962,6.0,1.0,0.6666661179603776,-1.0,0.8164963121186863,3.999996707762265,1.0,0.9999993415524532,0.999996728121363,1.460978990859884e-06,4.999996707762265,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,7.0,0.0,1.0,2.5,7.0,4.0,1.4285714285714286,0.0,1.618347187425374,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,34.0,7.0,51.0,21.857142857142858,-1.0,19.65899769764956,153.0
6290,stu_XHCSU6285G,N,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,3.0,1.0,0.6666666666666666,0.0,0.5773502691896258,2.0,0.0,0.0,0.5,3.0,1.0,0.3333333333333333,0.0,0.5773502691896258,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.157460627524244,-0.1574606275242439,-0.1571843192547299,3.0,-0.156908010985216,-0.1572764220112346,-0.157460627524244,0.0003190533075664,-0.471829266033704,-0.2631143208526725,-0.2631139273679239,-0.2628895262948308,3.0,-0.2626651252217377,-0.2629645889756942,-0.2631147143374212,0.0002593435169433,-0.7888937669270828,-0.0526022488487468,-0.0522962324807127,-0.0519998728842175,3.0,-0.0517035132877222,-0.0523026703284053,-0.0529082652167809,0.0006024017654812,-0.1569080109852159,0.0,0.0,0.5,3.0,1.0,0.3333333333333333,0.0,0.5773502691896258,1.0,0.0,0.0,0.5,3.0,1.0,0.3333333333333333,0.0,0.5773502691896258,1.0,0.0,0.0,0.5,3.0,1.0,0.3333333333333333,0.0,0.5773502691896258,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,0.985244472372513,0.985244472372513,0.985244472372513,1.0,0.985244472372513,0.985244472372513,0.985244472372513,1.0,0.985244472372513,0.985244472372513,0.985244472372513,,0.985244472372513,0.985244472372513,0.985244472372513,0.985244472372513,,0.985244472372513,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.5,3.0,1.0,0.3333333333333333,0.0,0.5773502691896258,1.0
7513,stu_XHCSU6285G,N,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,-0.1587238283336692,-0.1587204673181081,-0.1587023260316774,8.0,-0.158651869810267,-0.1587046008653803,-0.1587244677463857,3.240874974912833e-05,-1.2696368069230428,-0.2645362189797718,-0.26449986262852,-0.2644443320933723,8.0,-0.2643832763765462,-0.2644805941722364,-0.2645404407432205,6.776673746150885e-05,-2.115844753377892,-0.0529081668455938,-0.0529077241752516,-0.0529072405169148,8.0,-0.0529048550156263,-0.0529074208640912,-0.0529086587015295,1.1987569535068324e-06,-0.42325936691273,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.3938053097345133,0.0492256637168141,0.0,0.1392312024902715,0.3938053097345133,0.0,0.0,0.0,8.0,89.0,11.125,0.0,31.466251762801363,89.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,8.0,0.999999799549201,0.999999799549201,0.999999799549201,1.0,0.999999799549201,0.999999799549201,0.999999799549201,1.0,0.999999799549201,0.999999799549201,0.999999799549201,,0.999999799549201,0.999999799549201,0.999999799549201,0.999999799549201,,0.999999799549201,1.0,1.0,1.0,8.0,1.0,0.875,0.0,0.3535533905932738,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.875,0.0,0.3535533905932738,7.0,0.0,0.0,0.0,8.0,89.0,11.125,0.0,31.466251762801363,89.0
8633,stu_XHCSU6285G,N,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.1582262176834575,-0.1581285350946148,-0.1580890226677752,5.0,-0.157830962253478,-0.1581179569129564,-0.1583150468654563,0.0001829479890887,-0.790589784564782,-0.2637125488321436,-0.2635357102280388,-0.2635354151144773,5.0,-0.2635186592222657,-0.2636238508117275,-0.2638169206617126,0.0001339759412484,-1.318119254058638,-0.0527965811289669,-0.0526821426479127,-0.0526102988908955,5.0,-0.0525385207146698,-0.0527071420456077,-0.0529081668455938,0.0001473491089119,-0.2635357102280388,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,5.0,0.5,-0.0894736842105263,-1.0,0.5506229159487163,-0.4473684210526316,0.0,0.5,3.0,4.0,9.0,2.5,0.0,4.358898943540674,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,0.6,-1.0,0.8944271909999161,3.0,0.6839955924351457,0.7568159676535196,0.8296363428718933,2.0,-0.1944123913916139,0.611175217216772,0.7568159676535196,3.0,0.902456718090267,0.1712106451023463,-1.0,1.024700936658384,0.513631935307039,0.902456718090267,0.7568159676535196,0.611175217216772,0.2059671245018435,1.513631935307039,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.4,0.0,0.5477225575051662,2.0,0.0,0.0,1.0,5.0,9.0,1.8,-1.0,4.08656334834051,9.0
8886,stu_XHCSU6285G,N,0.0,0.0,0.0,7.0,1.0,0.1428571428571428,0.0,0.3779644730092273,1.0,0.0,0.0,0.0,7.0,1.0,0.1428571428571428,0.0,0.3779644730092272,1.0,0.0,0.0,1.0,7.0,1.0,0.4285714285714285,0.0,0.5345224838248487,3.0,0.0,0.0,0.0,7.0,1.0,0.1428571428571428,0.0,0.3779644730092273,1.0,-0.1584049253401181,-0.1583656096556528,-0.158331687991283,7.0,-0.1581222721290328,-0.1583475702536659,-0.1584718833281734,0.0001111403418197,-1.1084329917756617,-0.2640303533474382,-0.2639775936007286,-0.2638933222837345,7.0,-0.2637790149642631,-0.2639662106490724,-0.2641595147161696,0.000126339070541,-1.8477634745435068,-0.0528236987862253,-0.0527968434521327,-0.0527284590818637,7.0,-0.0526165618564775,-0.0527752017909591,-0.0529086914919253,9.43772320408315e-05,-0.3694264125367139,2.0,2.0,2.5,7.0,3.0,2.142857142857143,1.0,0.6900655593423541,15.0,0.6153846153846154,0.6153846153846154,0.6153846153846154,7.0,0.6153846153846154,0.5989010989010989,0.5,0.0436112853472185,4.1923076923076925,8.0,8.0,8.0,7.0,8.0,7.571428571428571,5.0,1.1338934190276817,53.0,0.0,0.0,1.0,7.0,1.0,0.4285714285714285,0.0,0.5345224838248487,3.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,0.0,28.0,0.3818708938857362,0.5181888982122755,0.6545069025388147,2.0,-1.0,-1.0,-0.3772235552204015,7.0,0.790824906865354,-0.5662317433679213,-1.0,0.7573387115977388,-3.963622203575449,0.790824906865354,0.5181888982122755,0.245552889559197,0.3855655410284521,1.036377796424551,0.0,0.0,0.5,7.0,1.0,0.2857142857142857,0.0,0.4879500364742665,2.0,1.5,3.0,4.0,7.0,5.0,2.7142857142857144,0.0,1.7994708216848745,19.0,0.0,0.0,0.5,7.0,1.0,0.2857142857142857,0.0,0.4879500364742665,2.0,8.0,8.0,8.0,7.0,8.0,7.571428571428571,5.0,1.1338934190276817,53.0
12239,stu_XHCSU6285G,?,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.875,0.0,0.3535533905932738,7.0,-0.158726172846963,-0.158726172846963,-0.1577264264719304,8.0,-0.1506430779794196,-0.1572877729532188,-0.158726172846963,0.0028959516005157,-1.258302183625751,-0.2645436214116051,-0.2628315692704001,-0.2564603871848799,8.0,-0.2564599035265431,-0.2610843002441944,-0.2645436214116051,0.0039679863487945,-2.088674401953555,-0.052908724282321,-0.052908724282321,-0.052908724282321,8.0,-0.0526212836734609,-0.0528727942062135,-0.052908724282321,0.0001016256018566,-0.422982353649708,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,8.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.18687833744435e-16,7.333333333333333,11.0,11.0,11.0,8.0,11.0,11.0,11.0,0.0,88.0,0.0,0.0,0.0,8.0,1.0,0.125,0.0,0.3535533905932738,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,8.0,0.232,0.342876252679369,0.374350453172205,8.0,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,0.0,-8.0,0.374350453172205,0.3131004831094192,0.232,0.0704485476684042,2.504803864875353,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.75,4.5,5.0,8.0,5.0,3.75,1.0,1.5811388300841898,30.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,8.0,11.0,11.0,11.0,0.0,88.0
16223,stu_CTSWS7645K,N,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.1911946647709804,-0.1911218168138538,-0.1910489688567272,2.0,-0.1909761208996007,-0.1911218168138538,-0.1912675127281069,0.000206045137919,-0.3822436336277077,-0.318553439799797,-0.3185448303853298,-0.3185362209708626,2.0,-0.3185276115563953,-0.3185448303853298,-0.3185620492142643,2.4351101407298623e-05,-0.6370896607706596,-0.0638272317326947,-0.0638197238049326,-0.0638122158771705,2.0,-0.0638047079494084,-0.0638197238049326,-0.0638347396604568,2.123562653298841e-05,-0.1276394476098653,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1860902255639097,0.2293233082706766,0.2725563909774436,2.0,0.3157894736842105,0.2293233082706766,0.1428571428571428,0.1222816238142149,0.4586466165413533,3.0,4.0,5.0,2.0,6.0,4.0,2.0,2.8284271247461903,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,,,,0.0,,,,0.0,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,2.0,6.0,4.0,2.0,2.8284271247461903,8.0
17501,stu_CTSWS7645K,N,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,0.8571428571428571,0.0,0.3779644730092272,6.0,0.0,0.0,0.0,7.0,1.0,0.1428571428571428,0.0,0.3779644730092272,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.1916428038270421,-0.1916363649893173,-0.1915820357774206,7.0,-0.1915814526374002,-0.1916158139316951,-0.1916432006862226,3.186528585973076e-05,-1.3413106975218658,-0.3193780807802529,-0.3193300608194098,-0.3193045646418531,7.0,-0.319224998425742,-0.3193362717234362,-0.3194335519746895,6.912325905469459e-05,-2.2353539020640536,-0.0638951756442334,-0.0638949974625605,-0.0638491399792929,7.0,-0.0637912147372707,-0.0638672126918286,-0.0638956453959165,3.999284521370322e-05,-0.4470704888428004,0.0,0.0,0.0,7.0,1.0,0.1428571428571428,0.0,0.3779644730092272,1.0,0.0,0.0,0.0166666666666666,7.0,0.8571428571428571,0.1272108843537414,0.0,0.3221093822952343,0.8904761904761903,0.0,0.0,0.5,7.0,6.0,1.0,0.0,2.23606797749979,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,4.0,1.4285714285714286,1.0,1.1338934190276817,10.0,0.9849492689271916,0.9998353463614283,0.9999684454869384,4.0,0.9849492689271916,0.9998353463614283,0.9999684454869384,4.0,0.9999944086768,0.9850823680527016,0.94066437081115,0.0296122674211318,3.940329472210807,0.9999944086768,0.9850823680527016,0.94066437081115,0.0296122674211318,3.940329472210807,1.0,1.0,1.0,7.0,1.0,0.8571428571428571,0.0,0.3779644730092272,6.0,0.5,1.0,1.0,7.0,1.0,0.7142857142857143,0.0,0.4879500364742665,5.0,0.0,0.0,0.5,7.0,1.0,0.2857142857142857,0.0,0.4879500364742666,2.0,0.0,0.0,0.5,7.0,6.0,1.0,0.0,2.23606797749979,7.0
19121,stu_CTSWS7645K,N,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,0.8571428571428571,0.0,0.3779644730092272,6.0,0.0,0.0,0.0,7.0,1.0,0.1428571428571428,0.0,0.3779644730092272,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.1915557782781706,-0.1915208546702847,-0.19147116628105,7.0,-0.1913967592342857,-0.1915058017899973,-0.1915691095069693,6.751073276215957e-05,-1.3405406125299812,-0.3192281490016853,-0.3191779422657659,-0.319138523620223,7.0,-0.3191255244572692,-0.3191878533320643,-0.3192781613575979,6.28510644900447e-05,-2.23431497332445,-0.0638676789724401,-0.0638335733804161,-0.0638088466237195,7.0,-0.0637790659868465,-0.0638372943691174,-0.0638953700242402,4.435905157861202e-05,-0.4468610605838224,0.0,0.0,1.0,7.0,1.0,0.4285714285714285,0.0,0.5345224838248487,3.0,0.0,0.0,0.3609467455621302,7.0,0.3636363636363636,0.0122185506800891,-1.0,0.4816207810365278,0.085529854760624,0.0,4.0,47.75,6.0,61.0,21.666666666666668,0.0,30.624608841039365,130.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,7.0,2.0,1.0,-1.0,1.0,7.0,0.957435473662151,0.957435473662151,0.957435473662151,1.0,-1.0,-1.0,-0.0212822631689245,3.0,0.957435473662151,-0.3475215087792829,-1.0,1.1301258976401656,-1.042564526337849,0.957435473662151,0.957435473662151,0.957435473662151,,0.957435473662151,1.0,1.0,1.0,7.0,1.0,0.8571428571428571,0.0,0.3779644730092272,6.0,0.0,0.0,0.5,7.0,1.0,0.2857142857142857,0.0,0.4879500364742665,2.0,0.0,0.0,1.0,7.0,1.0,0.4285714285714285,0.0,0.5345224838248487,3.0,0.0,0.0,34.5,7.0,61.0,18.428571428571427,-1.0,29.239568754555545,129.0
20286,stu_CTSWS7645K,N,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.1914352869714641,-0.1914315856521682,-0.1914278843328723,2.0,-0.1914241830135764,-0.1914315856521682,-0.19143898829076,1.0468911893822475e-05,-0.3828631713043364,-0.3190465656786793,-0.3190329833757052,-0.319019401072731,2.0,-0.3190058187697568,-0.3190329833757052,-0.3190601479816535,3.8416554148628615e-05,-0.6380659667514104,-0.0638218862825081,-0.0638159171964664,-0.0638099481104247,2.0,-0.0638039790243829,-0.0638159171964664,-0.0638278553685498,1.688312487035563e-05,-0.1276318343929328,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,0.4510763209393346,0.4911937377690802,0.5313111545988258,2.0,0.5714285714285714,0.4911937377690802,0.410958904109589,0.1134691899360017,0.9823874755381604,13.5,19.0,24.5,2.0,30.0,19.0,8.0,15.556349186104043,38.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,,,,0.0,,,,0.0,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.5,19.0,24.5,2.0,30.0,19.0,8.0,15.556349186104043,38.0
